symbol,M_0,M_2,M_4,M_8,M_79,F_0,F_2,F_4,F_8,F_79,cluster,color
Trabd2b,-1.09,-0.55,0.62,2.04,0.93,-1.27,-0.65,0.12,0.06,-0.2,1,#FF9900FF
Cyp4a12a,-0.47,-0.46,-0.45,1.06,2.5,-0.47,-0.46,-0.46,-0.44,-0.36,1,#FF9900FF
Cyp4a12b,-0.54,-0.56,-0.28,2.43,1.16,-0.55,-0.57,-0.47,-0.37,-0.26,3,#00FF33FF
Cyp4a14,-1.27,-0.16,0.92,-0.47,-0.93,-1.27,-0.06,1.36,1.26,0.62,7,#FF0099FF
Cyp4b1,-0.57,-0.57,-0.2,1.99,1.77,-0.57,-0.57,-0.54,-0.45,-0.29,3,#00FF33FF
Faah,-1.33,-0.61,0.16,0.45,2.02,-0.86,-0.63,-0.09,-0.26,1.15,2,#99FF00FF
Mast2,-0.83,-0.13,0.94,1.66,1.38,-0.85,-1.23,0.02,-0.67,-0.3,1,#FF9900FF
Akr1a1,-1.19,-0.97,0.65,1.67,0.78,-1.17,-0.94,0.38,0.62,0.18,1,#FF9900FF
Tesk2,-1.57,-0.67,0.38,1.13,1.24,-1.22,-0.5,0.17,-0.13,1.16,1,#FF9900FF
Slc6a9,-0.67,-0.69,-0.32,0.89,2.31,-0.25,-0.63,-0.78,-0.55,0.69,2,#99FF00FF
St3gal3,-1.33,-0.7,-0.09,0.73,1.45,-0.25,-0.91,-0.33,-0.29,1.73,2,#99FF00FF
Hyi,-1.02,-0.62,1.61,1.6,0.68,-1.1,-0.81,-0.03,-0.11,-0.2,1,#FF9900FF
Tmem125,-1.21,-1.01,0.47,0.74,1.81,-0.44,-0.91,-0.32,-0.26,1.13,2,#99FF00FF
Cldn19,-1.14,0.7,-0.11,-1.27,-0.64,-0.73,2.02,0.29,0.2,0.67,6,#9900FFFF
Ybx1,1.51,-0.87,0.6,1.41,0.38,0.33,-1.19,-0.23,-0.88,-1.06,3,#00FF33FF
Ppcs,-1.65,-0.55,0.33,1.22,1.39,-1.35,-0.28,0.1,0.05,0.74,1,#FF9900FF
Guca2a,-0.59,-0.5,1.69,-0.02,-0.99,-1.03,-0.34,1.14,1.29,-0.65,7,#FF0099FF
Guca2b,-1.07,-1.07,0.59,1.64,0.83,-1.07,-1.08,0.36,0.72,0.13,1,#FF9900FF
Ctps,0.24,-0.43,0.11,1.87,0.05,1.22,-1.05,0.03,-1.55,-0.5,3,#00FF33FF
Rlf,1.35,-0.24,-0.84,0.99,0.6,1.44,-0.47,-1.07,-1.07,-0.7,2,#99FF00FF
Mfsd2a,-0.97,-1.04,0.75,1.71,0.96,-0.95,-1.06,-0.05,-0.06,0.72,1,#FF9900FF
Trit1,1.05,-0.78,-0.06,2.04,0.21,0.68,-0.76,-0.92,-0.49,-0.97,3,#00FF33FF
Inpp5b,-1.29,-0.58,0.75,1.72,0.98,-1.39,-0.58,-0.09,0.46,0.02,1,#FF9900FF
Cdca8,1.69,0.26,-0.27,-0.8,-0.85,1.67,0.46,-0.54,-0.8,-0.83,4,#00FFFFFF
Adprs,-0.14,-0.42,-0.52,-0.39,0.15,2.38,-0.47,-0.72,-0.92,1.05,4,#00FFFFFF
Ak2,-1.45,-1.03,0.96,1.54,1,-0.58,-0.93,-0.19,0.16,0.52,1,#FF9900FF
Bsdc1,-0.66,-1,0.21,2.16,1.12,-0.77,-0.93,-0.28,-0.05,0.19,1,#FF9900FF
Ccdc28b,0,1.3,0.58,-1,-1.51,0.28,1.58,0.09,-0.3,-1.01,6,#9900FFFF
Ldc1,-0.83,-1.15,0.91,1.91,0.56,-0.84,-1.13,-0.03,0.36,0.24,1,#FF9900FF
Kdf1,-1.25,-0.88,0.02,0.12,1.39,0.53,-0.74,-0.5,-0.54,1.83,2,#99FF00FF
Dhdds,-1.02,-0.93,0.54,1.92,1.19,-0.29,-0.91,-0.55,-0.46,0.5,1,#FF9900FF
Sh3bgrl3,-1.09,0.64,-0.57,-0.53,-1,-0.71,0.71,-0.46,1.56,1.46,6,#9900FFFF
Cep85,-0.64,-0.83,-0.01,2,1.34,-1.01,-0.89,-0.36,-0.04,0.44,1,#FF9900FF
Trim63,-1.34,-0.54,1.54,1.27,1.08,-1.15,-0.56,0.13,-0.26,-0.16,1,#FF9900FF
Slc30a2,-1.27,-0.24,0.85,1.9,1,-1.27,-0.09,-0.11,-0.24,-0.53,1,#FF9900FF
Paqr7,-0.96,-0.83,0.5,1.96,1.29,-0.96,-0.78,-0.32,0.08,0.01,1,#FF9900FF
Clic4,-0.42,-0.25,-0.27,0.2,1.05,1.62,-1.06,-0.63,-1.42,1.18,2,#99FF00FF
Id3,0.68,0.95,-0.81,-1,-0.97,1.44,1.4,-0.59,-0.34,-0.74,4,#00FFFFFF
Eif4g3,0.32,-0.54,1.51,1.24,1,-0.71,-1.05,0.25,-0.82,-1.2,3,#00FF33FF
Cda,-1.4,-0.74,0.81,1.51,0.92,-1.39,-0.66,0.14,0.43,0.38,1,#FF9900FF
Pla2g5,-1.65,0.3,0.22,-0.62,-0.05,-1.65,0.77,1.08,0.84,0.76,7,#FF0099FF
Slc66a1,-1.74,-0.52,0.82,0.94,1.29,-1.23,-0.05,0.26,-0.56,0.78,1,#FF9900FF
Akr7a5,-1.03,-0.74,-0.13,0.41,1.51,-0.3,-0.84,-0.38,-0.44,1.95,2,#99FF00FF
Klhdc7a,-1.73,0.3,-0.22,-0.16,0.48,-1.61,0.62,0.08,0.91,1.33,6,#9900FFFF
Padi2,1.48,-0.65,-0.76,-0.79,-0.53,1.94,-0.64,-0.47,-0.24,0.66,4,#00FFFFFF
Mfap2,1.16,1.25,-0.68,-0.82,-0.82,1.36,0.83,-0.69,-0.78,-0.81,4,#00FFFFFF
Tmem82,-1.04,-1.03,0.86,1.78,1.13,-0.74,-0.96,-0.28,-0.02,0.32,1,#FF9900FF
Slc25a34,-1.22,-0.92,0.51,0.52,1.15,-0.9,-0.8,-0.37,0.26,1.77,2,#99FF00FF
Kazn,-1.31,-0.81,0.03,0.29,0.67,-1.33,-0.77,1.41,0.65,1.15,5,#0033FFFF
Pdpn,1.87,0.86,-0.78,-0.84,-0.92,1.03,0.63,-0.57,-0.57,-0.71,4,#00FFFFFF
Dhrs3,0.12,0.41,-1.25,-0.86,-1.04,-0.97,0.75,1.41,1.39,0.03,7,#FF0099FF
Ubiad1,-1.22,-0.72,0.93,1.74,1.13,-1.14,-0.7,-0.02,0,0,1,#FF9900FF
Angptl7,-1.08,-0.07,1.75,1.57,-0.36,-1.08,0.37,0.11,-0.36,-0.85,7,#FF0099FF
Errfi1,-1.18,-0.81,0.07,1.79,0.61,-1.09,-1.04,0.25,0.54,0.86,1,#FF9900FF
Per3,-0.77,0.78,1.76,0.23,-0.89,-1.31,0.57,-0.39,0.93,-0.9,7,#FF0099FF
Acot7,0.3,0.26,-1.03,-1.44,-1.18,0.59,0.14,-0.28,1.75,0.9,6,#9900FFFF
Nadk,-1.37,-0.77,0.14,1.07,1.57,-0.9,-0.81,-0.19,0.08,1.17,1,#FF9900FF
Vwa1,-0.99,-0.43,-0.25,-0.01,1.04,-0.2,-0.5,-0.51,-0.56,2.41,2,#99FF00FF
Ankrd65,-1.07,-0.6,1.42,1.42,1.34,-1.04,-0.44,-0.14,-0.35,-0.53,1,#FF9900FF
Ccnl2,1.29,-0.33,-0.35,-0.51,-0.2,2.26,-0.63,-0.36,-1.08,-0.1,4,#00FFFFFF
Mxra8,-0.31,1.78,-0.7,-1.1,-0.64,0.78,1.49,-0.55,-0.7,-0.04,6,#9900FFFF
Cdk6,1.82,1.07,-0.77,-0.4,-0.71,0.76,0.71,-0.55,-0.88,-1.05,4,#00FFFFFF
Gatad1,-0.35,-0.62,0.88,2.19,-0.07,-1.11,-0.59,0.25,0.46,-1.03,3,#00FF33FF
Cyp51,-0.8,-1.23,0.02,1.1,-0.19,-0.81,-1.24,1.31,1.05,0.79,5,#0033FFFF
Cdk14,2.04,0.15,-0.79,-0.87,-0.56,1.55,-0.13,-0.62,-0.41,-0.37,4,#00FFFFFF
Steap4,1.51,0.21,-0.84,-1.18,-0.96,0.87,-0.32,-0.55,1.55,-0.29,6,#9900FFFF
Abcb1a,-0.92,-0.75,-0.35,-0.18,0.53,-0.92,-0.86,0.18,1.3,1.96,5,#0033FFFF
Abcb1b,-0.96,-0.78,-0.17,-0.54,0.21,-0.99,-0.77,0.97,1.39,1.63,5,#0033FFFF
Crot,-0.83,-0.75,0.75,2.27,0.72,-0.9,-0.73,-0.16,-0.02,-0.35,1,#FF9900FF
Sema3d,1.16,1.37,-0.77,-0.93,-0.86,0.68,1.34,-0.61,-0.7,-0.69,4,#00FFFFFF
Pclo,-1.07,-0.71,0.82,-0.3,0.82,-1.53,-0.88,1.19,0.9,0.75,5,#0033FFFF
Sema3c,2.14,0.05,-0.27,-0.26,-0.62,1.42,-0.11,-0.63,-0.79,-0.92,4,#00FFFFFF
Cd36,-0.77,-0.75,0.16,2.42,0.86,-0.79,-0.65,-0.27,0.12,-0.32,3,#00FF33FF
Gsap,-0.87,-0.7,0.92,2.05,0.98,-0.92,-0.86,-0.05,-0.31,-0.23,1,#FF9900FF
Pmpcb,-1.03,-0.89,0.6,1.89,0.69,-1.25,-0.8,0.36,0.59,-0.16,1,#FF9900FF
Dnajc2,1.02,-0.91,-0.19,1.12,0.84,1.36,-1.16,-0.41,-1.25,-0.43,2,#99FF00FF
Insig1,2.23,-0.5,-0.47,-0.36,-0.72,0.94,-0.91,0.21,0.52,-0.93,4,#00FFFFFF
Kcnk3,-0.75,0.51,-0.43,-0.76,-0.32,-0.68,1.08,-0.9,2.2,0.05,6,#9900FFFF
Preb,-1.4,-0.79,0.31,1.16,1.54,-0.86,-0.77,-0.06,-0.21,1.09,1,#FF9900FF
Slc5a6,-0.83,-0.88,0.63,-0.24,-0.26,-0.92,-0.77,0.01,2,1.25,5,#0033FFFF
Letm1,-1.32,-0.77,1.01,1.4,0.82,-1.3,-0.91,0.59,0.19,0.3,1,#FF9900FF
Sh3bp2,-0.53,-0.59,-0.26,2.33,1.26,-0.51,-0.73,-0.63,-0.25,-0.09,1,#FF9900FF
Htt,0.15,-0.41,0.3,1.05,2.05,0.11,-1.37,-0.5,-1.08,-0.3,1,#FF9900FF
Hgfac,-1.32,-0.47,-0.05,-0.14,0.08,-0.95,-0.28,0.09,0.69,2.36,5,#0033FFFF
Acox3,-0.84,-0.75,0.13,1.63,1.91,-0.85,-0.76,-0.32,-0.11,-0.04,1,#FF9900FF
Afap1,1.11,1.43,-0.92,-1.17,-0.69,0.07,1.5,-0.22,-0.31,-0.8,6,#9900FFFF
Evc,-1.18,-0.79,0.34,0.56,1.68,-0.99,-0.85,-0.14,-0.04,1.42,2,#99FF00FF
Stk32b,-0.61,0.55,-0.87,-1.01,-0.91,-0.4,1.34,-0.24,0.26,1.91,6,#9900FFFF
Nsg1,1.8,0.05,-0.69,-0.86,-0.68,1.8,0.05,-0.71,-0.57,-0.19,4,#00FFFFFF
Prom1,-0.1,0.11,-0.51,-1.8,-0.82,-0.63,0.28,1.14,0.77,1.56,6,#9900FFFF
Lap3,-0.95,-0.89,0.62,1.65,1.57,-0.97,-0.9,-0.01,-0.08,-0.04,1,#FF9900FF
Med28,-1.25,-0.94,0.35,1.41,1.52,-0.92,-0.93,-0.01,0.13,0.64,1,#FF9900FF
Slit2,1.12,1.38,-0.34,-1.32,-1.52,0.64,0.63,0.45,-0.25,-0.78,6,#9900FFFF
Ppargc1a,-1.49,0.24,0.15,-0.8,0.29,-1.49,-0.17,1.18,0.8,1.29,7,#FF0099FF
Cckar,-1.14,-0.45,0.58,1.95,1.26,-1.15,-0.34,-0.02,-0.16,-0.53,1,#FF9900FF
Pcdh7,1.89,0.49,-0.35,-0.93,-1.02,1.23,0.41,-0.37,-0.22,-1.13,4,#00FFFFFF
Gm15823,-1.04,-0.87,1.55,1.36,0.57,-1.07,-0.9,0.61,0.24,-0.43,1,#FF9900FF
Gm3716,-1.27,-0.84,1.01,1.37,0.81,-1.34,-0.77,0.75,0.39,-0.12,1,#FF9900FF
Rbm47,-0.37,-0.87,0.18,2.29,0.15,-1.09,-1.01,0.43,0.56,-0.28,3,#00FF33FF
Gm43775,-0.98,-0.65,1.51,1.63,0.31,-1.08,-0.98,-0.29,-0.07,0.6,1,#FF9900FF
Gm43323,-1.08,0.11,1.41,0.54,0.25,-1.34,-0.47,1.68,-0.65,-0.45,7,#FF0099FF
Limch1,-0.87,0.22,-0.48,-1.51,-0.38,-0.73,0.14,0.56,1.37,1.67,5,#0033FFFF
Atp8a1,2.2,0.05,-0.87,-1.38,-0.42,1.03,-0.01,-0.32,-0.35,0.07,4,#00FFFFFF
Ociad2,-0.82,-0.42,-0.45,-0.01,0.5,-1.34,1.32,0.03,1.91,-0.72,5,#0033FFFF
Rasl11b,-1.14,0.51,-0.71,-1.23,0.44,1.54,0.14,-0.56,-0.5,1.51,2,#99FF00FF
Pdgfra,1.46,1.31,-0.88,-1.06,-0.72,0.91,0.86,-0.69,-0.62,-0.57,4,#00FFFFFF
Rest,1.74,0.71,-0.5,-1.08,-0.81,1.09,0.79,-0.73,-0.21,-1,4,#00FFFFFF
Stap1,-1.64,0.19,0.82,-0.2,0.2,-1.9,0.37,0.57,1.07,0.53,7,#FF0099FF
Ugt2b34,-0.97,-0.44,0.18,-0.81,-0.46,-1.1,-0.47,1.39,1.49,1.18,7,#FF0099FF
Ugt2b37,0.27,-0.67,-0.31,1.9,1.68,-0.08,-0.7,-0.7,-0.69,-0.69,1,#FF9900FF
Ugt2b38,-0.58,-0.58,0.16,2.53,0.85,-0.58,-0.58,-0.46,-0.3,-0.45,3,#00FF33FF
Sult1d1,-0.88,-0.86,1.13,1.64,0.07,-1.09,-0.99,0.85,0.61,-0.48,1,#FF9900FF
Jchain,-0.46,-0.46,-0.46,-0.43,0.85,-0.47,-0.47,-0.46,-0.24,2.6,2,#99FF00FF
Gc,-1.07,-0.11,-0.3,-0.65,-0.23,-1.15,-0.06,0.17,1.44,1.96,5,#0033FFFF
Alb,2.56,-0.65,-0.6,-0.39,-0.3,0.81,-0.64,-0.55,-0.1,-0.13,4,#00FFFFFF
Afm,-1.19,0.03,1.47,-0.34,-0.78,-1.32,0.04,1.62,0.59,-0.13,7,#FF0099FF
Rassf6,-0.76,0.16,-0.35,-0.2,-0.41,-1.83,0.42,0.77,1.97,0.24,5,#0033FFFF
Parm1,-0.3,1.29,-1.01,-1,-0.72,0.1,1.93,-0.89,0.35,0.26,6,#9900FFFF
Art3,-1.14,0.75,-0.03,-1.07,-0.34,-1.16,1.9,-0.02,0.95,0.15,6,#9900FFFF
Sowahb,-1.46,-0.23,0.5,-0.35,-0.05,-1.61,-0.18,1.21,1.16,1.01,7,#FF0099FF
Rasgef1b,-0.48,0.39,-0.46,-0.72,-0.85,-0.98,0.59,0.26,2.4,-0.16,6,#9900FFFF
Gpat3,-0.97,-0.9,-0.13,-0.09,0.84,-0.98,-0.83,0.21,0.83,2.03,5,#0033FFFF
Hsd17b11,-0.78,-0.74,0.34,2.02,1.48,-0.81,-0.75,-0.35,-0.09,-0.33,1,#FF9900FF
Nudt9,-1.14,-0.76,0.64,2.11,0.54,-1.06,-0.82,0.23,0.34,-0.06,1,#FF9900FF
Sparcl1,1.6,1.14,-0.59,-0.97,-1.03,1.18,0.5,-0.58,-0.51,-0.75,4,#00FFFFFF
Spp1,-1.32,1.1,0.03,-0.81,-0.62,-1.36,-0.06,0.91,1.18,0.96,7,#FF0099FF
Tgfbr3,-0.86,-0.59,-1.08,-0.86,0.72,-0.42,-0.38,0.3,1.38,1.79,5,#0033FFFF
Pgam5,0.67,-0.54,-0.66,-0.11,0.24,2.34,-0.78,-0.8,-0.88,0.52,4,#00FFFFFF
Grk3,1.65,0.53,-0.82,-1.32,-0.39,1.46,0.44,-0.67,-0.8,-0.08,4,#00FFFFFF
Coro1c,0.62,-0.36,-0.72,-0.27,0.58,2.37,-0.34,-0.9,-1,0.03,4,#00FFFFFF
Dao,-1.32,-0.63,0.52,0.55,1.9,-1.08,-0.72,-0.05,-0.15,0.97,1,#FF9900FF
Acacb,-0.72,-1.16,0.06,-0.24,0.24,-0.81,-0.93,0.28,1.49,1.79,5,#0033FFFF
Trpv4,-1.17,-1.05,0.25,1.39,1.36,-0.66,-0.91,-0.38,0.04,1.12,1,#FF9900FF
Hnf1a,-1.24,-0.81,0.06,0.23,1.61,0.02,-0.65,-0.56,-0.45,1.79,2,#99FF00FF
Hnf1aos1,-0.71,-0.3,1.03,2.35,0.15,-0.79,-0.36,-0.06,-0.37,-0.95,1,#FF9900FF
Acads,-1.22,-0.83,0.18,1.34,1.73,-0.87,-0.68,-0.42,-0.01,0.77,1,#FF9900FF
Unc119b,-1.25,-0.84,0.43,0.8,1.75,-0.97,-0.89,-0.21,0.15,1.02,1,#FF9900FF
Mlec,-1.25,-0.58,0.42,1.54,1.5,-1.35,-0.57,-0.14,0.3,0.13,1,#FF9900FF
Vsig10,0.24,0.35,-0.64,-1.78,0.17,1.85,0.41,-0.43,-0.92,0.76,4,#00FFFFFF
Ksr2,-0.76,-0.92,-0.12,1.37,1.9,-0.86,-0.89,-0.5,0.35,0.43,1,#FF9900FF
Fbxo21,-0.58,-0.85,-0.54,-0.72,0.67,1.27,-1.06,-0.15,-0.02,1.98,2,#99FF00FF
Brap,-0.73,-0.93,0.23,0.99,2.09,-0.9,-1.02,-0.02,-0.25,0.52,1,#FF9900FF
Anapc7,-1.33,-0.64,-0.43,0.52,1.78,0.87,-0.4,-0.67,-0.79,1.09,2,#99FF00FF
Hpd,-0.88,-0.86,-0.28,-0.27,0.3,-0.89,-0.87,0.51,1.92,1.32,5,#0033FFFF
Hcar1,-1.19,-0.16,0.03,-0.55,-0.02,-1.23,0.71,-0.2,2.25,0.37,5,#0033FFFF
Aacs,-0.86,-0.87,0.57,2.09,1.13,-0.79,-0.84,-0.47,0.06,-0.03,1,#FF9900FF
Gusb,-0.72,-0.27,-0.79,1.7,1.74,0.22,-0.07,-1.07,-0.83,0.09,1,#FF9900FF
Castor2,-1.45,-0.33,1.01,1.04,1.74,-1.13,-0.51,-0.13,-0.34,0.09,1,#FF9900FF
Abhd11os,-0.95,-0.63,0.68,2.12,1,-0.57,-1.14,-0.34,0,-0.17,1,#FF9900FF
Mlxipl,-1.27,-0.56,0.75,0.8,1.88,-1.09,-0.68,-0.05,-0.46,0.68,1,#FF9900FF
Hip1,1.89,0.31,-0.72,-0.92,-0.58,1.59,0.22,-0.65,-0.67,-0.46,4,#00FFFFFF
Por,-1.2,-1.05,0.49,1.43,0.97,-1.03,-0.93,-0.25,0.61,0.94,1,#FF9900FF
Tmem120a,-1.17,-1.09,0.53,1.66,1.21,-0.89,-0.99,0.11,0.37,0.25,1,#FF9900FF
4933404O12Rik,0.35,0.94,-0.03,-2.16,-0.92,-0.38,1.37,0.2,-0.03,0.66,6,#9900FFFF
Cldn15,-1.68,0.61,0.56,-0.2,-0.31,-1.76,1.09,0.58,0.79,0.33,7,#FF0099FF
Ufsp1,-1.65,-0.55,0.44,0.93,1.52,-1.15,-0.47,0.02,-0.12,1.03,1,#FF9900FF
Irs3,-1.04,-0.81,-0.51,0.15,0.89,-0.84,-0.55,-0.43,1.69,1.45,5,#0033FFFF
Zcwpw1,2.12,0.59,-0.46,-0.88,-0.91,0.96,0.45,-0.49,-0.63,-0.75,4,#00FFFFFF
Azgp1,-0.49,-0.52,-0.49,1.29,2.37,-0.51,-0.52,-0.49,-0.4,-0.24,1,#FF9900FF
Prkar1b,1.57,0.32,-0.83,-0.95,-0.73,1.71,0.53,-0.86,-0.59,-0.16,4,#00FFFFFF
Gper1,0.54,0.51,-0.78,-0.89,-0.9,0.52,2.31,-0.63,-0.27,-0.42,6,#9900FFFF
Chst12,-0.17,1.43,-0.68,-1.16,-0.75,0.43,1.97,-0.65,-0.24,-0.18,6,#9900FFFF
Mmd2,-1.1,0.21,-0.37,-0.1,-0.54,-1.13,0.58,0.09,2.39,-0.03,5,#0033FFFF
D130017N08Rik,-0.4,0.84,-0.76,-1.71,0.18,-1.16,1.26,1.08,-0.03,0.69,6,#9900FFFF
Zfp655,0.93,-0.97,-0.53,2.06,0.69,0.55,-0.74,-0.79,-0.54,-0.65,3,#00FF33FF
Slc46a3,-0.96,-0.79,0.17,1.79,1.64,-0.94,-0.74,-0.29,0,0.12,1,#FF9900FF
1810059H22Rik,-1.22,-0.87,1.05,1.01,1.4,-1.25,-0.88,0.19,0.54,0.03,1,#FF9900FF
Hsph1,-1.19,-0.84,0.27,1.78,0.76,-1.12,-0.83,-0.27,0.84,0.6,1,#FF9900FF
Tfpi2,-1.44,-0.11,0.71,0.16,-0.25,-1.53,-0.17,1.73,0.97,-0.07,7,#FF0099FF
Gng11,0.72,1.38,-0.33,-1.15,-1.27,0.62,1.42,0.01,-0.44,-0.97,4,#00FFFFFF
Sgce,1.67,0.6,-0.77,-0.97,-0.9,1.28,0.87,-0.62,-0.49,-0.68,4,#00FFFFFF
Pon3,-1.01,-0.4,0.14,-0.03,-0.24,-1.41,0.59,-0.1,2.32,0.14,5,#0033FFFF
Tmem106b,-1.24,-0.79,0.55,1.61,1.13,-1.27,-0.81,0.59,0.25,-0.02,1,#FF9900FF
Mdfic,-1.12,1.52,-0.02,-1.37,-0.29,-1.31,0.48,0.68,0.58,0.84,7,#FF0099FF
Cav1,1.71,0.16,-0.82,-0.92,-1.14,1.13,0.67,-0.73,0.67,-0.72,4,#00FFFFFF
Met,-1.22,-0.45,0.61,1.59,1.29,-1.4,-0.83,0.25,0.2,-0.03,1,#FF9900FF
Cttnbp2,1.91,0.24,-0.61,-1.38,-0.53,1.41,-0.08,0.04,-0.82,-0.18,4,#00FFFFFF
Fam3c,1.27,1.08,-1.06,-1.22,-1.29,0.75,0.99,-0.34,0.26,-0.45,6,#9900FFFF
Aass,-1.02,-0.9,0.12,1.74,1.4,-1.02,-0.93,-0.09,0.36,0.34,1,#FF9900FF
Cadps2,0.8,2,-0.76,-1.09,-1.34,-0.58,0.4,0.32,0.42,-0.17,6,#9900FFFF
Tmem229a,-1.29,-0.57,1.13,1.41,0.81,-1.41,-0.67,0.65,0.33,-0.39,1,#FF9900FF
Irf5,-1.3,-0.66,0.94,1.66,0.66,-1.22,-0.87,-0.13,0.25,0.69,1,#FF9900FF
Akr1b8,1.06,1.22,-0.85,-1.13,-0.87,1,0.27,-1.21,0.95,-0.44,4,#00FFFFFF
Akr1d1,-1,-0.98,0.98,1.68,0.84,-1.05,-0.99,0.36,0.48,-0.32,1,#FF9900FF
Tbxas1,-1.2,-0.62,-0.34,-0.59,1.18,-1.25,-0.38,1.11,0.77,1.33,5,#0033FFFF
Parp12,0.17,0.48,-0.15,-2.32,-0.22,0.22,-0.59,1.01,0.02,1.37,6,#9900FFFF
Rab19,-1.54,1.14,0.06,-0.73,-0.16,-1.56,1.17,0.46,0.8,0.36,6,#9900FFFF
Mkrn1,-0.82,-0.55,-0.24,1.44,1.99,0.16,-0.94,-0.53,-0.82,0.29,1,#FF9900FF
Tpk1,-1.23,-0.61,0.68,1.93,0.87,-1.35,-0.4,0.27,0.16,-0.33,1,#FF9900FF
Zfp467,-1.5,-0.49,0.74,-0.41,0.02,-0.99,-0.8,0.8,1.17,1.47,5,#0033FFFF
Gimap8,-0.86,0,-0.44,-0.86,-0.66,-1.11,0.09,1.75,1.5,0.59,7,#FF0099FF
Tmem176b,-1.36,-0.53,0.73,1.87,0.75,-1.29,-0.7,0.13,0.3,0.09,1,#FF9900FF
Tmem176a,-1.16,-0.63,0.62,2.05,0.81,-1.17,-0.75,0.06,0.27,-0.09,1,#FF9900FF
Malsu1,0.8,-0.69,-0.74,-0.34,0.2,2.01,-0.86,-0.69,-0.82,1.13,4,#00FFFFFF
Mpp6,-0.43,-0.83,1.16,2.18,0.29,-0.79,-0.89,-0.07,0.09,-0.71,1,#FF9900FF
Gsdme,2.13,-0.53,-0.04,0.98,-0.65,0.53,-0.6,-0.1,-0.27,-1.44,3,#00FF33FF
Cycs,-1.03,-0.74,0.75,1.86,0.44,-1.25,-0.76,0.66,0.59,-0.51,1,#FF9900FF
Snx10,1.76,-0.27,-0.9,-1.1,-0.66,-0.13,0.24,-0.38,1.75,-0.3,6,#9900FFFF
Halr1,-1.15,-0.65,0.14,-0.18,-0.22,-1.22,-0.62,1.48,1.51,0.9,5,#0033FFFF
Hoxa5,1.72,-0.69,-0.09,-1.12,-1.25,0.58,-0.92,0.93,0.84,0.01,4,#00FFFFFF
Tril,1.43,0.81,-0.67,-0.9,-0.8,1.43,0.87,-0.58,-0.78,-0.79,4,#00FFFFFF
Plekha8,-0.47,-0.69,0.57,1.7,1.8,-0.8,-0.65,-0.23,-0.68,-0.54,1,#FF9900FF
Znrf2,-1.2,-0.65,0.93,1.66,0.92,-1.32,-0.78,0.42,0.28,-0.28,1,#FF9900FF
Ggct,-1.25,-0.83,0.49,1.55,0.9,-1.28,-0.88,0.84,0.4,0.05,1,#FF9900FF
Inmt,-0.73,-0.69,0.26,2.24,1.24,-0.73,-0.68,-0.53,-0.04,-0.33,3,#00FF33FF
Nt5c3,-0.95,-0.73,0.36,2.07,1.02,-1.11,-0.9,0.11,0.22,-0.1,1,#FF9900FF
Nap1l5,-0.84,-0.71,-0.32,-0.39,0.71,-0.76,-0.73,0.13,0.55,2.37,5,#0033FFFF
Fam13a,-1.5,-0.14,0.61,-0.34,0.18,-1.67,-0.16,0.7,1.47,0.85,7,#FF0099FF
Ccser1,1.93,-0.17,0.05,-0.09,-0.65,1.57,-0.25,-0.3,-1.01,-1.09,4,#00FFFFFF
Igkc,-0.4,-0.39,-0.4,-0.39,0.31,-0.4,-0.39,-0.4,-0.32,2.78,2,#99FF00FF
Fabp1,-0.49,-0.72,-0.3,-0.52,-0.24,-0.7,-0.69,0.43,0.76,2.47,5,#0033FFFF
Cd8a,-1.05,-0.44,2.44,-0.47,0.35,-1.07,-0.17,0.49,0.05,-0.14,1,#FF9900FF
Tmem150a,-1.66,-0.24,0.87,1.55,1.3,-0.66,0.04,-0.58,-0.74,0.12,1,#FF9900FF
Rnf181,-1.2,-0.49,1.04,1.92,0.59,-1.35,-0.48,0.12,0.19,-0.33,1,#FF9900FF
Capg,-0.75,-0.33,-0.63,-0.9,-0.51,-0.37,-0.21,0.15,1.37,2.18,5,#0033FFFF
Tcf7l1,1.46,0.45,-0.71,-0.88,-0.82,1.83,0.48,-0.53,-0.66,-0.63,4,#00FFFFFF
Tmsb10,1.54,0.81,-0.67,-0.84,-0.86,1.44,0.7,-0.66,-0.69,-0.77,4,#00FFFFFF
Pole4,-1.68,-0.53,0.51,1.61,1.21,-0.68,-0.78,0.23,-0.4,0.52,1,#FF9900FF
Hk2,2.03,-0.41,-0.77,-0.77,-0.06,1.59,-0.47,-0.85,-0.22,-0.06,4,#00FFFFFF
Aup1,-1.27,-0.98,0.65,1.85,0.7,-0.96,-0.88,0.06,0.46,0.38,1,#FF9900FF
Rtkn,0.08,-0.65,0.97,-0.98,-1.55,0.76,-0.57,-0.3,1.73,0.52,4,#00FFFFFF
Tet3,1.23,0.85,-0.24,-1.15,-0.92,1.54,0.77,-0.38,-0.84,-0.86,4,#00FFFFFF
Actg2,1.17,-0.51,-0.47,-0.99,-0.74,1.8,0.16,-1.05,1.04,-0.4,4,#00FFFFFF
Spr,-1.5,-0.79,0.57,0.92,1.4,-1.05,-0.77,0.22,-0.11,1.1,1,#FF9900FF
Nat8f3,-1.1,-1.1,1.47,0.96,0.69,-1.1,-1.1,0.24,0.51,0.53,1,#FF9900FF
Nat8f6,-0.84,-0.85,0.73,2.19,0.38,-0.85,-0.85,-0.43,0.67,-0.15,1,#FF9900FF
